route,component_file,route_type,stability_class,state_name,entry_method,evidence_type,evidence_status,evidence_source,priority_tier,findings_status,notes
/,app/index.tsx,bootstrap,stable,loading bootstrap,Cold launch while auth and onboarding hydrate,real-session,source-only,app/index.tsx:101-108,T1,none,Shared loading gate
/,app/index.tsx,bootstrap,stable,unauthenticated redirect,Launch without session,real-session,source-only,app/index.tsx:112-113,T1,none,Routes to auth welcome
/,app/index.tsx,bootstrap,stable,paywall redirect,Launch with completed user and expired access,real-session,source-only,app/index.tsx:116-118,T1,none,Routes to paywall
/,app/index.tsx,bootstrap,stable,app redirect,Launch with completed user and valid access,real-session,source-only,app/index.tsx:121,T1,none,Routes to tabs
/,app/index.tsx,bootstrap,stable,onboarding redirect,Launch authenticated without completed user,real-session,source-only,app/index.tsx:124-128,T1,none,Routes to summary or goal
_layout,app/_layout.tsx,global gate,stable,missing auth config,Boot with required auth config missing,synthetic-only,source-only,app/_layout.tsx,T3,none,Configuration guard
/(auth)/welcome,app/(auth)/welcome.tsx,auth,stable,default welcome,Signed out launch or logout,real-session,source-only,app/(auth)/welcome.tsx,T1,F-05,Primary auth entry
/(auth)/sign-in,app/(auth)/sign-in.tsx,auth,stable,default form,Direct route or footer link,real-session,source-only,app/(auth)/sign-in.tsx,T1,none,Shared auth scaffold
/(auth)/sign-in,app/(auth)/sign-in.tsx,auth,stable,submitting,Submit credentials,real-session,source-only,app/(auth)/sign-in.tsx,T1,none,Disabled CTA and loading copy
/(auth)/sign-in,app/(auth)/sign-in.tsx,auth,stable,error state,Use invalid credentials or provider failure,real-session,source-only,app/(auth)/sign-in.tsx,T1,none,Inline error placement
/(auth)/create-account,app/(auth)/create-account.tsx,auth,stable,default form,Direct route from welcome,real-session,source-only,app/(auth)/create-account.tsx,T1,none,Shared auth scaffold
/(auth)/create-account,app/(auth)/create-account.tsx,auth,stable,submitting,Submit new account details,real-session,source-only,app/(auth)/create-account.tsx,T1,none,Disabled CTA and loading copy
/(auth)/create-account,app/(auth)/create-account.tsx,auth,stable,error state,Validation failure or provider error,real-session,source-only,app/(auth)/create-account.tsx,T1,none,Inline error placement
/(auth)/name,app/(auth)/name.tsx,auth,stable,empty name capture,Fresh account after auth,real-session,source-only,app/(auth)/name.tsx,T2,none,First signed in identity capture
/(auth)/name,app/(auth)/name.tsx,auth,stable,validation or save error,Continue with empty or failed save,real-session,source-only,app/(auth)/name.tsx,T2,none,Footer error placement
